"organization","isin","bbid","ticker","hq_country","importance_of_water_quality_and_quantity_direct_indirect_use","importance_of_water_quality_and_quantity_importance_rating","importance_of_water_quality_and_quantity_explanation","evaluated_how_water_could_affect_growth_strategy","experienced_detrimental_impacts_related_to_water_this_year","procedures_to_assess_water_risk","geographic_scale_of_assessments","methods_used_to_assess_water_risks","do_you_require_your_key_suppliers_to_report_on_their_water_use_risks_and_management","organization_exposed_to_water_risk","does_water_present_opportunities","highest_level_of_direct_responsibility_for_water","is_water_integrated_into_business_strategy","does_your_organization_have_a_water_policy","subject_to_penalties_and_or_fines","target_and_or_goals"
"Quanta Computer","TW0002382009","EQ0033054100001000","2382 TT","Taiwan","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all","Normal tap water for domestic water system is enough. There's no need to use quantities of water in daily production.",,,,,,,,,,,,,
"RALTRON",,,,"USA",,,,"Not evaluated","No","Water risks are not assessed",,,"No","Don't know","No",,"No","No","No","No"
"RALTRON",,,,"USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Not important at all","We are in a small leased office spaces where water is provided through the lease and is managed by our landlord.  Water not used in operation.",,,,,,,,,"No individual or committee with overall responsibility for water",,,,
"RALTRON",,,,"USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all","We are in a small leased office spaces where water is provided through the lease and is managed by our landlord.  Water not used in operation.",,,,,,,,,,,,,
"RALTRON",,,,"USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Neutral","We are in a small leased office spaces where water is provided through the lease and is managed by our landlord.  Water not used in operation.",,,,,,,,,,,,,
"RALTRON",,,,"USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Neutral","We are in a small leased office spaces where water is provided through the lease and is managed by our landlord.  Water not used in operation.",,,,,,,,,,,,,
"RAR Group",,,,"Brazil",,,,"Yes, evaluated over the next 1 year","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"Yes","No","Yes",,"Yes","Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice","No","Yes, targets and goals"
"RAR Group",,,,"Brazil","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations",,,,,"Region","Regional government databases",,,,"Senior Manager/Officer",,,,
"RAR Group",,,,"Brazil","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Vital for operations",,,,,,,,,,,,,,
"RAR Group",,,,"Brazil","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations",,,,,,,,,,,,,,
"RAR Group",,,,"Brazil","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Vital for operations",,,,,,,,,,,,,,
"Raytheon Company","US7551115071","EQ0010124300003000","RTN US","USA",,,,"Not evaluated","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","No","Don't know",,"Yes","No","No","Yes, goals only"
"Raytheon Company","US7551115071","EQ0010124300003000","RTN US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations",,,,,"Business unit","WBCSD Global Water Tool",,,,"Senior Manager/Officer",,,,
"Raytheon Company","US7551115071","EQ0010124300003000","RTN US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important",,,,,,,,,,,,,,
"Raytheon Company","US7551115071","EQ0010124300003000","RTN US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important",,,,,,,,,,,,,,
"Raytheon Company","US7551115071","EQ0010124300003000","RTN US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"REDPATH",,,,"Canada",,,,,,,,,,,,,,,,
"REDPATH",,,,"Canada","Direct use: sufficient amounts of good quality freshwater available for use across your own operations",,,,,,,,,,,,,,,
"REDPATH",,,,"Canada","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations",,,,,,,,,,,,,,,
"Reed Elsevier Group","GB00B2B0DG97","EQ0011216100001000","REL LN","United Kingdom",,,,"Yes, evaluated over the next 5 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"Yes","No","Yes",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, targets and goals"
"Reed Elsevier Group","GB00B2B0DG97","EQ0011216100001000","REL LN","United Kingdom","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","The provision of safe drinking water and adequate sanitation arrangements are legal requirements for many territories in which the company operates.  

Good quality, safe drinking water; and effective sanitation arrangements help to maintain high levels of employee wellbeing which reduces the impact of sickness absence on the business operations.",,,,"River basin","WBCSD Global Water Tool",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Reed Elsevier Group","GB00B2B0DG97","EQ0011216100001000","REL LN","United Kingdom","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all","As a primarily office based business; brackish, recycled or produced water is not used in the company's operations.",,,,,,,,,,,,,
"Reed Elsevier Group","GB00B2B0DG97","EQ0011216100001000","REL LN","United Kingdom","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","Water is an important resource in some parts of the company's value chain, such as in contracted printing services or the production of paper purchased by the business. A water stress assessment is conducted on suppliers in these sectors annually.",,,,,,,,,,,,,
"Reed Elsevier Group","GB00B2B0DG97","EQ0011216100001000","REL LN","United Kingdom","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Neutral","Water is an important resource in some parts of the company's value chain, such as in contracted printing services or the production of paper purchased by the business. Suppliers in these sectors use processes such as recycling process water in order to minimise their environmental impact (and therefore the impact of our value chain).",,,,,,,,,,,,,
"REFLEX PACKAGING INC",,,,"USA",,,,"Not evaluated","No","Water risks are not assessed",,,,"No","No",,"No",,"No","No"
"REFLEX PACKAGING INC",,,,"USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Not important at all",,,,,,,,,,"No individual or committee with overall responsibility for water",,,,
"REFLEX PACKAGING INC",,,,"USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all",,,,,,,,,,,,,,
"REFLEX PACKAGING INC",,,,"USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Not important at all",,,,,,,,,,,,,,
"REFLEX PACKAGING INC",,,,"USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important",,,,,,,,,,,,,,
"REHAU INCORPORATED",,,,"Germany",,,,"Not evaluated","Yes","Water risk assessments undertaken independently of other risk assessments incorporating both direct operations and supply chain",,,"No","No","Yes",,"Yes","Other: Environmental policy","Don't know","Yes, targets only"
"REHAU INCORPORATED",,,,"Germany","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Not very important",,,,,,,,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"REHAU INCORPORATED",,,,"Germany","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important",,,,,,,,,,,,,,
"REHAU INCORPORATED",,,,"Germany","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Neutral",,,,,,,,,,,,,,
"REHAU INCORPORATED",,,,"Germany","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important",,,,,,,,,,,,,,
"Renault","FR0000131906","EQ0011547600001000","RNO FP","France",,,,,,,,,,,,,,,,
"Renault","FR0000131906","EQ0011547600001000","RNO FP","France",,,,,,,,,,,,,,,,
"Renesas Electronics Corporation","JP3164720009","EQ0000000000627515","6723 JT","Japan",,,,"Other","No","Water risks are not assessed",,,"No","No","Don't know",,"No","No","No","No"
"Reynders Label Printing",,"EQ0000000010718918","PRIV","Belgium","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Neutral","We don't see were in the production chain within our sites, water of this quality is really necessary",,,,,,,,,,,,,
"Renesas Electronics Corporation","JP3164720009","EQ0000000000627515","6723 JT","Japan","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations",,,,,,,,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Renesas Electronics Corporation","JP3164720009","EQ0000000000627515","6723 JT","Japan","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Have not evaluated",,,,,,,,,,,,,,
"Renesas Electronics Corporation","JP3164720009","EQ0000000000627515","6723 JT","Japan","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations",,,,,,,,,,,,,,
"Renesas Electronics Corporation","JP3164720009","EQ0000000000627515","6723 JT","Japan","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Resolute Forest Products Inc.","US0036871004","EQ0000000004959406","RFP CN","Canada",,,,"Yes, evaluated over the next 10 years","No","Water risk assessments undertaken independently of other risk assessments across some direct operations",,,"Yes","No","No",,"Yes","Yes, a company-wide water policy","Yes, not significant","Yes, goals only"
"Resolute Forest Products Inc.","US0036871004","EQ0000000004959406","RFP CN","Canada","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations",,,,,"Facility","WBCSD Global Water Tool",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Resolute Forest Products Inc.","US0036871004","EQ0000000004959406","RFP CN","Canada","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all",,,,,,"WRI Aqueduct",,,,,,,,
"Resolute Forest Products Inc.","US0036871004","EQ0000000004959406","RFP CN","Canada","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Not very important",,,,,,"WWF-DEG Water Risk Filter",,,,,,,,
"Resolute Forest Products Inc.","US0036871004","EQ0000000004959406","RFP CN","Canada","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all",,,,,,,,,,,,,,
"Reunert","ZAE000057428","EQ0013055300001000","RLO SJ","South Africa",,,,"Yes, evaluated over the next 1 year","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","No","No",,"No","Yes, a water policy for select facilities only","No","No"
"Reunert","ZAE000057428","EQ0013055300001000","RLO SJ","South Africa","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Current water supplies are all good quality fresh water and operations are geared towards receiving water of this quality.
Water is mainly required for human consumption and in the manufacturing operations in certain processes on a small scale.",,,,"Business unit","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Reunert","ZAE000057428","EQ0013055300001000","RLO SJ","South Africa","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","If good quality water is not supplied, we will have to fall back on water supplies of this nature.  Some treatment might then be required.",,,,,"Other: Marsh Risk Services which relates to fire defence",,,,,,,,
"Reunert","ZAE000057428","EQ0013055300001000","RLO SJ","South Africa","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Reunert","ZAE000057428","EQ0013055300001000","RLO SJ","South Africa","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Reynders Label Printing",,"EQ0000000010718918","PRIV","Belgium",,,,"Yes, evaluated over the next 5 years","No","Water risk assessments undertaken independently of other risk assessments across some direct operations",,,"No","Yes, direct operations and supply chain","No",,"Yes","Yes, a water policy for select facilities only","No","Yes, targets only"
"Reynders Label Printing",,"EQ0000000010718918","PRIV","Belgium","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","People have to be able to wash their hands in clean water.
Potable water is being used in some sites to control the humidity level within the building.",,,,"Facility","Internal company knowledge",,,,"Senior Manager/Officer",,,,
"Reynders Label Printing",,"EQ0000000010718918","PRIV","Belgium","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","Water is being used in some sites in a cooling system to cool our printing machines.",,,,,,,,,,,,,
"Reynders Label Printing",,"EQ0000000010718918","PRIV","Belgium","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important","When paper backing is being used; In the supply chain at our suppliers, this paper is being produced using water.",,,,,,,,,,,,,
"Ricoh Co., Ltd.","JP3973400009","EQ0011456600001000","7752 JP","Japan",,,,"Yes, evaluated over the next 5 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"No","Yes, direct operations and supply chain","Yes",,"Yes","Yes, a company-wide water policy","No","Yes, targets and goals"
"Ricoh Co., Ltd.","JP3973400009","EQ0011456600001000","7752 JP","Japan","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Sufficient amount of good quality water supply is indispensable for production of supply (toner) products, electric device, and camera lens parts.",,,,"Facility","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Ricoh Co., Ltd.","JP3973400009","EQ0011456600001000","7752 JP","Japan","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all",,,,,,"UNEP Vital Water Graphics",,,,,,,,
"Ricoh Co., Ltd.","JP3973400009","EQ0011456600001000","7752 JP","Japan","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations",,,,,,,,,,,,,,
"Ricoh Co., Ltd.","JP3973400009","EQ0011456600001000","7752 JP","Japan","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all",,,,,,,,,,,,,,
"Rio Tinto","GB0007188757","EQ0010128600001000","RIO LN","United Kingdom",,,,"Yes, evaluated over the next 5 years","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","Yes, direct operations only","Yes",,"Yes","Other: A water performance standard for direct operations including supplier, procurement and contracting best practice","Yes, not significant","Yes, targets only"
"Rio Tinto","GB0007188757","EQ0010128600001000","RIO LN","United Kingdom","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Water is a vital resource for communities and ecosystems and is essential to our operations. Our operations rely on the ability to obtain water of suitable quality and quantity, and are committed to using water responsibly. Our approach to water management is based on the identification, assessment and control of water-related risks",,,,"Business unit","WBCSD Global Water Tool",,,,"Other: Board Sustainability Committee",,,,
"Rio Tinto","GB0007188757","EQ0010128600001000","RIO LN","United Kingdom","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","Where possible, we use recycled water. Some sites have been able to recycle up to 70 per cent of their water; others source it from external treatment plants.",,,,,"Internal company knowledge",,,,,,,,
"Rio Tinto","GB0007188757","EQ0010128600001000","RIO LN","United Kingdom","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","Each operation has its own water challenges. Some are located in water-scarce environments. Others need to manage surplus water from storms or groundwater, or the quality of water we use and discharge to the environment. We work with neighbouring communities to manage our impacts, and look for opportunities to provide clean drinking water in countries where water is unsuitable or insufficient to meet community needs.",,,,,"Other: Internal water risk evaluation software",,,,,,,,
"Roechling Automotive",,,,"Italy","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Not important at all",,,,,"River basin","Regional government databases",,,,"Other Manager/Officer",,,,
"Rio Tinto","GB0007188757","EQ0010128600001000","RIO LN","United Kingdom","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important"," At many sites, we replace use of high-quality (potable) water with poorer-quality water to conserve local water supplies.",,,,,,,,,,,,,
"RM Chemicals",,,,"India",,,,"Yes, evaluated over the next 10 years","No","Water risks are not assessed",,,"No","No","Don't know",,"Yes","Yes, a water policy for select facilities only","No","No"
"RM Chemicals",,,,"India","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important",,,,,,,,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"RM Chemicals",,,,"India","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important",,,,,,,,,,,,,,
"RM Chemicals",,,,"India","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"RM Chemicals",,,,"India","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Roechling Automotive",,,,"Italy","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all",,,,,,,,,,,,,,
"Roche Holding AG","CH0012032048","EQ0011578500008000","ROG VX","Switzerland",,,,"Yes, evaluated over the next 5 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"Yes","Yes, direct operations and supply chain","No",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, targets only"
"Roche Holding AG","CH0012032048","EQ0011578500008000","ROG VX","Switzerland","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Neutral","The 'clean' water entering our operations is always cleaned again before use, regardless of its source. Therefore the quality the water that Roche receives from the outside is not so important.
Almost all processes in chemical, biotech, pharmaceutical and diagnostic manufacturing involve water as a  reagent, solvent or cleaning agent. In addition water is used as an energy carrier in refrigeration and heating installations.",,,,"Facility","WBCSD Global Water Tool",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Roche Holding AG","CH0012032048","EQ0011578500008000","ROG VX","Switzerland","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Vital for operations","Some Roche affiliates use brackish water e.g. from a river, for cooling purposes. It is drawn from source, used and returned uncontaminated back to the source. We do not use fresh drinking water for such purposes when such an alternative is available.",,,,"Region",,,,,,,,,
"Roche Holding AG","CH0012032048","EQ0011578500008000","ROG VX","Switzerland","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","Roche relies on its suppliers for business success. Suppliers who lose access to water pose a risk to Roche that could hinder business continuity. Thus the availability of high quality water to Roche's suppliers is critical to Roche for running its business. Roche encourage efficient use of resources which includes water.",,,,,,,,,,,,,
"Roche Holding AG","CH0012032048","EQ0011578500008000","ROG VX","Switzerland","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Neutral","Roche's suppliers who use recycled, brackish and/or produced water do so because, among other things, their business allows it and its use does not result in business risks for themselves or the companies that they supply. Roche supports and encourages efficient use of resources.",,,,,,,,,,,,,
"Rockwell Automation","US7739031091","EQ0020253700001000","ROK US","USA",,,,"Not evaluated","No","Water risk assessments undertaken independently of other risk assessments across some direct operations",,,"No","Yes, direct operations and supply chain","Yes",,"No","No","Yes, not significant","Yes, goals only"
"Rockwell Automation","US7739031091","EQ0020253700001000","ROK US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Over 98% of our water consumption is for sanitary and personal use purposes (i.e. kitchens, cafeterias, water closets, drinking); therefore, having sufficient amounts and adequate quality water is vital for our employees and business.",,,,"Region","Internal company knowledge",,,,"Other Manager/Officer",,,,
"Rockwell Automation","US7739031091","EQ0020253700001000","ROK US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral","While a majority of our water use is related to sanitary and personal use, a small portion comes from brakish, salt, or recycled sources.  Hence, we rate this category as ""neutral"".",,,,,"WRI Aqueduct",,,,,,,,
"Rockwell Automation","US7739031091","EQ0020253700001000","ROK US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","Water is a critical issue for business – without it supply chains will collapse.  Now, more opportunities present themselves in a sustainable supply chain.  Clean, fresh, and available water is no longer just an issue for developing countries.  It has become more and more a global issue, as well as a corporate issue.",,,,,,,,,,,,,
"Rockwell Automation","US7739031091","EQ0020253700001000","ROK US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important","While our operations do not use high volumes of water from brakish or salt water sources, we recognize that many of our suppliers and our suppliers' suppliers do, in fact, rely on these waters being available in sufficient supply to enable them to maintain operations and keep the supply chain stable.",,,,,,,,,,,,,
"RODFAM HOLDINGS LTD",,,,"Canada",,,,,,,,,,,,,,,,
"RODFAM HOLDINGS LTD",,,,"Canada",,,,,,,,,,,,,,,,
"Roechling Automotive",,,,"Italy",,,,"Yes, evaluated over the next 1 year","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,,"No","No",,"Yes","No","No","No"
"RONG HUA(QING YUAN) OFFSET PRINTING",,,,"China","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","The daily operation of our company needs freshwater, mainly goes to staff use.",,,,,,,,,"Senior Manager/Officer",,,,
"RONG HUA(QING YUAN) OFFSET PRINTING",,,,"China","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral","The process of our production does not require recycled, brackish and/or produced water.",,,,,,,,,,,,,
"RONG HUA(QING YUAN) OFFSET PRINTING",,,,"China","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","The raw material for our paper package is paper. Freshwater is vital for the production of  paper in our upstream supply chain.",,,,,,,,,,,,,
"RONG HUA(QING YUAN) OFFSET PRINTING",,,,"China","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated","This is hard to define for us since we did not communicate with the value chain about  their lengthen production process.",,,,,,,,,,,,,
"Royal Bafokeng Platinum Ltd","ZAE000149936","EQ0000000011477887","RBP SJ","South Africa",,,,"Yes, evaluated over the next 5 years","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"No","Yes, direct operations only","Yes",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, goals only"
"Royal Bafokeng Platinum Ltd","ZAE000149936","EQ0000000011477887","RBP SJ","South Africa","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations",,,,,"Country","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Royal Bafokeng Platinum Ltd","ZAE000149936","EQ0000000011477887","RBP SJ","South Africa","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important",,,,,,,,,,,,,,
"Royal Bafokeng Platinum Ltd","ZAE000149936","EQ0000000011477887","RBP SJ","South Africa","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations",,,,,,,,,,,,,,
"Royal Bafokeng Platinum Ltd","ZAE000149936","EQ0000000011477887","RBP SJ","South Africa","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Neutral",,,,,,,,,,,,,,
"Royal BAM Group nv","NL0000337319","EQ0011598100001000","BAMNB NA","Netherlands",,,,"Not evaluated","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","Yes, direct operations and supply chain","Yes",,"No","Yes, a water policy for select facilities only","No","Yes, goals only"
"Royal BAM Group nv","NL0000337319","EQ0011598100001000","BAMNB NA","Netherlands","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Neutral",,,,,"Business unit","Other:",,,,"Other Manager/Officer",,,,
"Royal BAM Group nv","NL0000337319","EQ0011598100001000","BAMNB NA","Netherlands","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral",,,,,,,,,,,,,,
"Royal BAM Group nv","NL0000337319","EQ0011598100001000","BAMNB NA","Netherlands","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Neutral",,,,,,,,,,,,,,
"Royal BAM Group nv","NL0000337319","EQ0011598100001000","BAMNB NA","Netherlands","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Neutral",,,,,,,,,,,,,,
"Royal Philips","NL0000009538","EQ0010117300001000","PHIA NA","Netherlands",,,,"Yes, evaluated over the next 5 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"Yes","Yes, direct operations and supply chain","Yes",,"Yes","No","No","Yes, targets and goals"
"Sappi","ZAE000006284","EQ0011221200001002","SAP SJ","South Africa",,,,,,,,,,,,,,,,
"Royal Philips","NL0000009538","EQ0010117300001000","PHIA NA","Netherlands","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","At most of our sites, water is merely used for domestic purposes (toilets, showers, kitchen). In some Lighting factories, water is also used in the manufacturing process. Without the availability of good quality fresh water we would not be able to provide our employees with water for domestics purposes and manufacturing process would suffer severely.",,,,"Facility","WBCSD Global Water Tool",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Royal Philips","NL0000009538","EQ0010117300001000","PHIA NA","Netherlands","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral","At some of our industrial site recycled water is used in the manufacturing process. Without the availability of recycled water some manufacturing processes could be at risk.",,,,,"FAO/AQUASTAT",,,,,,,,
"Royal Philips","NL0000009538","EQ0010117300001000","PHIA NA","Netherlands","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","In our value chain water is used for both domestic and manufacturing purposes. Without the availability of good quality fresh water our supplies could be at risk.",,,,,,,,,,,,,
"Royal Philips","NL0000009538","EQ0010117300001000","PHIA NA","Netherlands","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important","In our value chain both recycled and brackish water used in manufacturing processes. Without its availability our supplies could be at risk.",,,,,,,,,,,,,
"Rudraksh Detergent & Chemicals Pvt. Ltd",,,,"India",,,,"Yes, evaluated over the next 1 year","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","No","No",,"Yes","Yes, a water policy for select facilities only","No","Yes, targets only"
"Rudraksh Detergent & Chemicals Pvt. Ltd",,,,"India","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","The water used for manufacturing process.",,,,"River basin","Internal company knowledge",,,,"Senior Manager/Officer",,,,
"Rudraksh Detergent & Chemicals Pvt. Ltd",,,,"India","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain",,,,,,,,,,,,,,,
"Rudraksh Detergent & Chemicals Pvt. Ltd",,,,"India","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain",,,,,,,,,,,,,,,
"RWE AG","DE0007037129","EQ0011567500001000","RWE GR","Germany",,,,"Yes, evaluated over the next 10 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"No","No","No",,"Yes","Yes, a water policy for select facilities only","No","Yes, goals only"
"STG OTOMOTIV SAN VE TIC A.S",,,,"Turkey","Direct use: sufficient amounts of good quality freshwater available for use across your own operations",,,,,,,,,,,,,,,
"RWE AG","DE0007037129","EQ0011567500001000","RWE GR","Germany","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important",,,,,"Facility","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"RWE AG","DE0007037129","EQ0011567500001000","RWE GR","Germany","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important",,,,,,"WRI water stress definition",,,,,,,,
"RWE AG","DE0007037129","EQ0011567500001000","RWE GR","Germany","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Not very important",,,,,,"Other: Environmental assessment",,,,,,,,
"RWE AG","DE0007037129","EQ0011567500001000","RWE GR","Germany","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important",,,,,,,,,,,,,,
"SABLE CORPORATION",,,,"Taiwan",,,,"Not evaluated","No","Water risks are not assessed",,,"No","No","No",,"No","No","No","No"
"SABLE CORPORATION",,,,"Taiwan","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Not very important",,,,,,,,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"SABLE CORPORATION",,,,"Taiwan","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important",,,,,,,,,,,,,,
"SABLE CORPORATION",,,,"Taiwan","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Not very important",,,,,,,,,,,,,,
"SABLE CORPORATION",,,,"Taiwan","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important",,,,,,,,,,,,,,
